holder,position_type,shares_prev,shares_current,percent_out,delta_shares,flag,period_end,filed_date,ref_price
CYPRESS CAPITAL MANAGEMENT LLC (WY),EQUITY,,0,,-10.0,NO_CHANGE,2020-06-30,,
MAN GROUP PLC,EQUITY,,0,,-580637.0,NO_CHANGE,2020-06-30,,
XPONANCE INC.,EQUITY,,0,,311.0,NO_CHANGE,2020-06-30,,
SQUAREPOINT OPS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
QUADRATURE CAPITAL LTD,EQUITY,,0,,76864.0,NO_CHANGE,2020-06-30,,
IFP ADVISORS INC,EQUITY,,0,,-72.0,NO_CHANGE,2020-06-30,,
TRAYNOR CAPITAL MANAGEMENT INC.,EQUITY,,0,,2136.0,NO_CHANGE,2020-06-30,,
POINT72 ASIA (SINGAPORE) PTE. LTD.,EQUITY,,0,,16987.0,NO_CHANGE,2020-06-30,,
CETERA INVESTMENT ADVISERS,EQUITY,,0,,111043.0,NO_CHANGE,2020-06-30,,
CETERA INVESTMENT ADVISERS,EQUITY,,0,,31000.0,NO_CHANGE,2020-06-30,,
OSAIC HOLDINGS INC.,EQUITY,,0,,-11936.0,NO_CHANGE,2020-06-30,,
WOLVERINE TRADING LLC,EQUITY,,0,,-9770.0,NO_CHANGE,2020-06-30,,
WOLVERINE TRADING LLC,EQUITY,,0,,-8700.0,NO_CHANGE,2020-06-30,,
WOLVERINE TRADING LLC,EQUITY,,0,,-31500.0,NO_CHANGE,2020-06-30,,
RUSSELL INVESTMENTS GROUP LTD.,EQUITY,,0,,37283.0,NO_CHANGE,2020-06-30,,
CLEARSTEAD ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
TOTAL INVESTMENT MANAGEMENT INC,EQUITY,,0,,-8604.0,NO_CHANGE,2020-06-30,,
MERIDIAN WEALTH MANAGEMENT LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
CERITY PARTNERS LLC,EQUITY,,0,,2739.0,NO_CHANGE,2020-06-30,,
ARAX ADVISORY PARTNERS,EQUITY,,0,,428.0,NO_CHANGE,2020-06-30,,
POINT72 EUROPE (LONDON) LLP,EQUITY,,0,,59949.0,NO_CHANGE,2020-06-30,,
SOWELL FINANCIAL SERVICES LLC,EQUITY,,0,,-12115.0,NO_CHANGE,2020-06-30,,
MIRAE ASSET GLOBAL ETFS HOLDINGS LTD.,EQUITY,,0,,-36318.0,NO_CHANGE,2020-06-30,,
EVERSOURCE WEALTH ADVISORS LLC,EQUITY,,0,,35.0,NO_CHANGE,2020-06-30,,
BOGART WEALTH LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
CLOSE ASSET MANAGEMENT LTD,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
STEWARD PARTNERS INVESTMENT ADVISORY LLC,EQUITY,,0,,277.0,NO_CHANGE,2020-06-30,,
CENTERSTAR ASSET MANAGEMENT LLC,EQUITY,,0,,30000.0,NO_CHANGE,2020-06-30,,
KEYSTONE FINANCIAL GROUP,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
GRADIENT CAPITAL ADVISORS LLC,EQUITY,,0,,10004.0,NO_CHANGE,2020-06-30,,
