holder,position_type,shares_prev,shares_current,percent_out,delta_shares,flag,period_end,filed_date,ref_price
GREAT VALLEY ADVISOR GROUP INC.,EQUITY,,0,,13042.0,NO_CHANGE,2012-03-31,,
GOLDEN STATE WEALTH MANAGEMENT LLC,EQUITY,,0,,2.0,NO_CHANGE,2012-03-31,,
TSFG LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
RED DOOR WEALTH MANAGEMENT LLC,EQUITY,,0,,27100.0,NO_CHANGE,2012-03-31,,
ATTICUS WEALTH MANAGEMENT LLC,EQUITY,,0,,-200.0,NO_CHANGE,2012-03-31,,
PACIFICA PARTNERS INC.,EQUITY,,0,,-8.0,NO_CHANGE,2012-03-31,,
GAME PLAN FINANCIAL ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
BANK JULIUS BAER & COMPANY . LTD ZURICH,EQUITY,,0,,-18.0,NO_CHANGE,2012-03-31,,
CRAWFORD FUND MANAGEMENT LLC,EQUITY,,0,,37000.0,NO_CHANGE,2012-03-31,,
JUMP FINANCIAL LLC,EQUITY,,0,,1664400.0,NO_CHANGE,2012-03-31,,
IRON HORSE WEALTH MANAGEMENT LLC,EQUITY,,0,,46.0,NO_CHANGE,2012-03-31,,
MTM INVESTMENT MANAGEMENT LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
HIGH NOTE WEALTH LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
SYMMETRY INVESTMENTS LP,EQUITY,,0,,60000.0,NO_CHANGE,2012-03-31,,
SAN LUIS WEALTH ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
SOVEREIGN FINANCIAL GROUP INC.,EQUITY,,0,,-10452.0,NO_CHANGE,2012-03-31,,
SPIRE WEALTH MANAGEMENT,EQUITY,,0,,1280.0,NO_CHANGE,2012-03-31,,
OPTIVER HOLDING B.V.,EQUITY,,0,,304.0,NO_CHANGE,2012-03-31,,
XTX TOPCO LTD,EQUITY,,0,,195720.0,NO_CHANGE,2012-03-31,,
BLUE TRUST INC.,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
TRIUMPH CAPITAL MANAGEMENT,EQUITY,,0,,-23180.0,NO_CHANGE,2012-03-31,,
CIBC BANCORP USA INC.,EQUITY,,0,,50879.0,NO_CHANGE,2012-03-31,,
PRIVATE WEALTH ASSET MANAGEMENT LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
AMERITAS ADVISORY SERVICES LLC,EQUITY,,0,,-357.0,NO_CHANGE,2012-03-31,,
STATE OF WYOMING,EQUITY,,0,,59033.0,NO_CHANGE,2012-03-31,,
CORECAP ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2012-03-31,,
COVESTOR LTD,EQUITY,,0,,-4.0,NO_CHANGE,2012-03-31,,
