Filer,City,State,"",Shares Held,Market Value,% of Portfolio,Prior % of Portfolio,Ranking,Prior Ranking,Change in shares,Percent Change,Filer State,% Ownership,Qtr first owned,filer_id,filer_cik,filer_irs_number,filer_crd,street_address,street_address2,zip_code
Cary street partners investment advisory llc,RICHMOND,VA,"",0.0,0.0,,0.0004,"",1407,-837.0,-100.0,VA,0.0000000,Q4 2022,430483,0001766904,,000128545,901 EAST BYRD STREET,SUITE 1001,23219
Centiva capital  lp,NEW YORK,NY,"",156391.0,957113.0,0.0227,,634,,156391.0,,NY,0.0788432,Q2 2023,391236,0001692507,,000286299,66 HUDSON BOULEVARD E,56TH FLOOR,10001
Charles schwab investment management inc,SAN FRANCISCO,CA,"",350859.0,2147257.0,0.0005,0.0003,2597,2800,226591.0,182.3405865,CA,0.1768827,Q1 2014,2579,0000884546,,000106753,211 MAIN STREET, ,94105
Ci investments inc.,TORONTO, ,"",0.0,0.0,,0.0,"",1286,-88.0,-100.0, ,0.0000000,Q3 2021,635,0001163648,,000134918,"15 YORK STREET, 2ND FLOOR", ,M5J 0A3
Citadel advisors llc,MIAMI,FL,PUT,3183633.0,19483834.0,0.0039,0.0027,2045,2401,1615227.0,102.9852602,FL,N/A,Q1 2014,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citadel advisors llc,MIAMI,FL,CALL,1627974.0,9963201.0,0.002,0.0021,2850,2701,392157.0,31.7326109,FL,N/A,Q1 2014,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citadel advisors llc,MIAMI,FL,"",1520164.0,9303404.0,0.0019,0.0003,2947,5594,1317134.0,648.7386101,FL,0.7663782,Q1 2017,70431,0001423053,000000000,000148826,830 BRICKELL PLAZA, ,33131
Citigroup inc,NEW YORK,NY,PUT,662152.0,4052370.0,0.0029,0.0066,1725,1159,-451100.0,-40.5209243,NY,N/A,Q3 2022,650,0000831001,,,388 GREENWICH STREET, ,10013
Citigroup inc,NEW YORK,NY,CALL,28600.0,175032.0,0.0001,0.0038,3968,1420,-609862.0,-95.5204852,NY,N/A,Q4 2022,650,0000831001,,,388 GREENWICH STREET, ,10013
Citigroup inc,NEW YORK,NY,"",13303.0,81414.0,0.0001,0.0016,4284,1933,-254882.0,-95.0396182,NY,0.0067066,Q4 2016,650,0000831001,,,388 GREENWICH STREET, ,10013
Clearline capital lp,NEW YORK,NY,"",0.0,0.0,,0.0491,"",112,-71508.0,-100.0,NY,0.0000000,Q3 2023,256434,0001600136,900934356,,"750 LEXINGTON AVENUE, 25TH FLOOR", ,10022
Clearstead advisors  llc,CLEVELAND,OH,"",21.0,129.0,0.0,0.0,1492,1446,0.0,0.0,OH,0.0000106,Q4 2021,358134,0000842775,,,1100 SUPERIOR AVENUE EAST,SUITE 700,44114
Clearstead trust  llc,PORTLAND,ME,"",17.0,105.0,0.0,,411,,17.0,,ME,0.0000086,Q4 2023,369228,0001708001,,,1 UNION STREET   SUITE 302, ,04101
Coatue management llc,NEW YORK,NY,"",0.0,0.0,,0.0092,"",84,-228136.0,-100.0,NY,0.0000000,Q1 2022,677,0001135730,,000157910,9 WEST 57TH STREET,25TH FLOOR,10019
Colonial trust company,SPARTANBURG,SC,"",1050.0,6983.0,0.0015,0.0022,761,722,-28.0,-2.5974026,SC,0.0005293,Q4 2022,613889,0001954093,,,233 S. PINE ST., ,29302
Comerica bank,DALLAS,TX,"",1.0,6.0,0.0,0.0,3726,3752,-28.0,-96.5517241,TX,0.0000005,Q3 2023,695,0000901541,,,1717 MAIN STREET,MC 6404,75201
Commerce bank,KANSAS CITY,MO,"",42235.0,258478.0,0.0018,,1060,,42235.0,,MO,0.0212924,Q2 2023,698,0001009076,,,1000 WALNUT, ,64106
Commonwealth equity services  llc,WALTHAM,MA,"",11507.0,70000.0,0.0001,,3722,,11507.0,,MA,0.0058012,Q3 2019,69950,0000312272,,000008032,29 SAWYER ROAD,ONE UNIVERSITY OFFICE PARK,02453-3483
Concentrum wealth management,SAN JOSE,CA,"",80000.0,489600.0,0.2556,0.3866,41,33,0.0,0.0,CA,0.0403313,Q3 2023,430659,0001765387,,000167151,353 PIERCY RD., ,95138
Concourse financial group securities  inc.,BIRMINGHAM,AL,"",150.0,918.0,0.0001,0.0001,2122,2083,0.0,0.0,AL,0.0000756,Q1 2021,119606,0000752798,,,2801 HIGHWAY 280 SOUTH, ,35223
Connor  clark & lunn investment management ltd.,VANCOUVER,A1,"",0.0,0.0,,0.0055,"",799,-132680.0,-100.0,A1,0.0000000,Q3 2023,716,0001596800,,000107557,2300 - 1111 WEST GEORGIA STREET, ,V6E 4M3
Coppell advisory solutions llc,COPPELL,TX,"",117.0,716.0,0.0001,0.0002,1468,1011,-12.0,-9.3023256,TX,0.0000590,Q4 2022,504240,0001848433,274762004,,9111 CYPRESS WATERS BLVD,SUITE 140,75019
Cornerstone planning group llc,FAIRFIELD,NJ,"",7.0,43.0,0.0,0.0,926,1136,0.0,0.0,NJ,0.0000035,Q2 2023,624324,0001822587,208315014,,"350 PASSAIC AVENUE, SUITE 201", ,07004
Covestor ltd,LONDON,MA,"",2396.0,15000.0,0.0103,0.0098,1295,1285,692.0,40.6103286,MA,0.0012079,Q4 2021,555623,0001909846,,,FLOOR 12,20 FENCHURCH STREET,EC3M 3BY
Crawford fund management  llc,BOSTON,MA,PUT,34000.0,208080.0,0.0414,,200,,34000.0,,MA,N/A,Q4 2023,476242,0001816427,,000158659,265 FRANKLIN STREET,SUITE 1702,02110-3144
Creative financial designs inc,KOKOMO,IN,"",10.0,61.0,0.0,0.0,1584,1486,0.0,0.0,IN,0.0000050,Q3 2021,395150,0000819864,,,2704 S. GOYER RD, ,46902
Credit suisse ag/,ZURICH,V8,"",198721.0,1216172.0,0.0012,0.001,2212,2309,74144.0,59.5166042,V8,0.1001836,Q1 2014,760,0000824468,135015677,,PARADEPLATZ 8, ,CH 8001
Crescent park management  l.p.,EAST PALO ALTO,CA,CALL,76200.0,466344.0,0.101,0.143,30,31,0.0,0.0,CA,N/A,Q3 2023,288822,0001629984,,000172326,"1950 UNIVERSITY AVENUE, SUITE 204", ,94303
Crystalline management inc.,"MONTREAL, QUEBEC",Z4,"",0.0,0.0,,0.0682,"",79,-11890.0,-100.0,Z4,0.0000000,Q3 2023,627078,0001891834,000000000,,1002 SHERBROOKE STREET WEST,SUITE 1525,H34 3L6
Css llc,CHICAGO,IL,PUT,37409.0,228942.0,0.0132,0.0154,619,574,8028.0,27.3237807,IL,N/A,Q4 2020,191410,0001103646,,,1 NORTH WACKER DRIVE,SUITE 3075,60606
Css llc,CHICAGO,IL,CALL,16398.0,100356.0,0.0058,0.0185,697,536,-18930.0,-53.5835598,IL,N/A,Q3 2022,191410,0001103646,,,1 NORTH WACKER DRIVE,SUITE 3075,60606
Css llc,CHICAGO,IL,"",0.0,0.0,,0.0001,"",791,-225.0,-100.0,IL,0.0000000,Q1 2023,191410,0001103646,,,1 NORTH WACKER DRIVE,SUITE 3075,60606
Cubist systematic strategies  llc,STAMFORD,CT,"",275226.0,1684383.0,0.011,0.0157,1654,1326,8701.0,3.2646093,CT,0.1387529,Q3 2023,272320,0001603465,364780832,000292081,72 CUMMINGS POINT ROAD, ,06902
Cutler group llc,SAN FRANCISCO,CA,"",9314.0,57000.0,0.0051,0.0686,1365,337,-74477.0,-88.8842477,CA,0.0046956,Q4 2016,338141,0001534270,943196831,000031730,101 MONTGOMERY ST,SUITE 700,94104
Cutler group llc,SAN FRANCISCO,CA,CALL,567000.0,60000.0,0.0054,0.011,1330,1084,-206700.0,-26.7157813,CA,N/A,Q4 2015,338141,0001534270,943196831,000031730,101 MONTGOMERY ST,SUITE 700,94104
Cutler group llc,SAN FRANCISCO,CA,PUT,190900.0,555000.0,0.0496,0.1639,390,141,-527500.0,-73.4270601,CA,N/A,Q3 2016,338141,0001534270,943196831,000031730,101 MONTGOMERY ST,SUITE 700,94104
Cwm  llc,OMAHA,NE,"",491.0,3000.0,0.0,0.0,3731,3585,-56.0,-10.23766,NE,0.0002475,Q1 2019,248238,0001535847,,,14600 BRANCH ST., ,68154
Cypress capital management llc (wy),SHERIDAN,WY,"",172.0,1053.0,0.0012,0.0075,150,124,-622.0,-78.3375315,WY,0.0000867,Q1 2021,289222,0001633896,,000130401,PO BOX J, ,82801
D. e. shaw & company .  inc.,NEW YORK,NY,"",9356801.0,57263622.0,0.05,0.0036,432,2154,8930343.0,2094.0732733,NY,4.7171543,Q4 2019,790,0001009207,133839469,,TWO MANHATTAN WEST,"375 NINTH AVENUE, 52ND FLOOR",10001
D. e. shaw & company .  inc.,NEW YORK,NY,CALL,100000.0,612000.0,0.0005,,3417,,100000.0,,NY,N/A,Q4 2023,790,0001009207,133839469,,TWO MANHATTAN WEST,"375 NINTH AVENUE, 52ND FLOOR",10001
Delos wealth advisors  llc,DALLAS,TX,"",9.0,56.0,0.0001,0.0001,336,365,0.0,0.0,TX,0.0000045,Q3 2023,527621,0001878326,,000300734,"1845 WOODALL RODGERS FWY, STE 1000", ,75201
Delta asset management llc,MEMPHIS,TN,"",0.0,0.0,,0.0,"",640,-21.0,-100.0,TN,0.0000000,Q4 2022,833,0000860857,,000113688,700 COLONIAL ROAD,STE 220,38117
Deutsche bank ag,FRANKFURT AM MAIN GE,2M,"",8147.0,49860.0,0.0,0.0,3424,3353,245.0,3.1004809,2M,0.0041072,Q1 2014,842,0000948046,,,TAUNUSANLAGE 12 D-60325, ,00000
Discovery capital management  llc,SOUTH NORWALK,CT,"",0.0,0.0,,0.4852,"",29,-342003.0,-100.0,CT,0.0000000,Q3 2023,861,0001389507,,000161263,20 MARSHALL STREET,SUITE 310,06854
Emg holdings  l.p.,OLD GREENWICH,CT,PUT,3251700.0,19900404.0,3.2626,5.6439,5,3,6000.0,0.18486,CT,N/A,Q3 2021,107394,0001478394,,,53 FOREST AVENUE, ,06870
Emg holdings  l.p.,OLD GREENWICH,CT,CALL,300000.0,1836000.0,0.301,0.6138,41,23,-53000.0,-15.0141643,CT,N/A,Q1 2023,107394,0001478394,,,53 FOREST AVENUE, ,06870
Engineers gate manager lp,NEW YORK,NY,"",460396.0,2817624.0,0.0804,0.0035,343,1604,448461.0,3757.5282782,NY,0.2321049,Q2 2017,289127,0001620220,,,767 5TH AVENUE,7TH FLOOR,10153
Equitec proprietary markets  llc,CHICAGO,IL,CALL,320600.0,1962072.0,1.4512,0.586,17,21,23600.0,7.9461279,IL,N/A,Q2 2022,123360,0001143261,,,111 W. JACKSON,20TH FL.OOR,60604
Equitec proprietary markets  llc,CHICAGO,IL,"",6187.0,37864.0,0.028,0.1115,54,49,-50300.0,-89.0470374,IL,0.0031191,Q2 2021,123360,0001143261,,,111 W. JACKSON,20TH FL.OOR,60604
Equitec proprietary markets  llc,CHICAGO,IL,PUT,56300.0,344556.0,0.2548,0.0324,39,58,39900.0,243.2926829,IL,N/A,Q1 2023,123360,0001143261,,,111 W. JACKSON,20TH FL.OOR,60604
Eudaimonia partners  llc,WINCHESTER,TN,"",11520.0,70502.0,0.0184,,247,,11520.0,,TN,0.0058077,Q4 2023,470699,0001809043,812564065,,1791 BYPASS ROAD, ,37398
Eversource wealth advisors  llc,BIRMINGHAM,AL,"",0.0,0.0,,0.0001,"",2321,-89.0,-100.0,AL,0.0000000,Q4 2021,375969,0001710537,,000286340,3500 COLONNADE PKWY,SUITE 150,35243
Exchange traded concepts  llc,OKLAHOMA CITY,OK,"",0.0,0.0,,0.0033,"",846,-14806.0,-100.0,OK,0.0000000,Q2 2021,150256,0001457320,,000151197,10900 HEFNER POINTE DRIVE,SUITE 400,73120
Exoduspoint capital management  lp,NEW YORK,NY,"",114887.0,703000.0,0.0046,,937,,114887.0,,NY,0.0579193,Q2 2021,431504,0001736225,,000294156,65 E 55TH STREET,5TH FLOOR,10022
Exoduspoint capital management  lp,NEW YORK,NY,CALL,0.0,0.0,,0.0076,"",1046,-100000.0,-100.0,NY,N/A,Q4 2022,431504,0001736225,,000294156,65 E 55TH STREET,5TH FLOOR,10022
Farther finance advisors  llc,SAN FRANCISCO,CA,"",30.0,184.0,0.0,0.0001,3236,2360,-12.0,-28.5714286,CA,0.0000151,Q1 2023,645686,0001992825,,000302050,345 CALIFORNIA STREET,SUITE 600,94104
Federation des caisses desjardins du quebec,LEVIS,A8,"",1281.0,7840.0,0.0001,0.0001,1806,1755,21.0,1.6666667,A8,0.0006458,Q3 2023,670147,0002022297,,,100 RUE DES COMMANDEURS, ,G6V5C1
Financial avengers  inc.,OAKLAND,CA,"",4.0,24.0,0.0,0.0,179,178,0.0,0.0,CA,0.0000020,Q2 2021,499390,0001844393,,000119636,827 BROADWAY,SUITE 210,94612
Financial synergies wealth advisors  inc.,HOUSTON,TX,"",1000.0,4070.0,0.0006,0.0001,222,390,887.0,784.9557522,TX,0.0005041,Q2 2022,666114,0002017868,,000105643,"4400 POST OAK PKWY, STE 200", ,77027
